"","death","pm10tmean","tmpd","rmtmpd","dptp","rmdptp","dow","date"
"68",126,-16.4335443,31,54.1666666666667,14,36.6666666666667,"Monday",1987-03-09
"69",113,-16.84910079,25.5,48.3333333333333,13.625,28.1666666666667,"Tuesday",1987-03-10
"70",112,-3.433544304,28.5,37,17,20.4166666666667,"Wednesday",1987-03-11
"71",125,30.566455696,33.5,28.3333333333333,22.375,14.875,"Thursday",1987-03-12
"72",128,5.5664556962,34,29.1666666666667,33.125,17.6666666666667,"Friday",1987-03-13
"73",106,7.5664556962,37,32,33,24.1666666666667,"Saturday",1987-03-14
"74",113,NA,35,34.8333333333333,24.5,29.5,"Sunday",1987-03-15
"75",117,-9.508417661,37.5,35.3333333333333,17.875,30.2083333333333,"Monday",1987-03-16
"76",127,13.566455696,38.5,36.5,19.375,25.125,"Tuesday",1987-03-17
"77",120,21.566455696,39.5,37,30.25,20.5833333333333,"Wednesday",1987-03-18
"78",121,-9.433544304,41.5,38.5,26.125,22.5,"Thursday",1987-03-19
"79",127,-13.4335443,43,39.8333333333333,16.625,25.25,"Friday",1987-03-20
"80",120,-1.433544304,43.5,41.3333333333333,22.5,24.3333333333333,"Saturday",1987-03-21
"81",100,1.4420726138,48,42.6666666666667,32.375,21.75,"Sunday",1987-03-22
"82",125,28.566455696,53.5,44.8333333333333,35.25,23.8333333333333,"Monday",1987-03-23
"83",132,16.566455696,57.5,48.3333333333333,46.125,30.0416666666667,"Tuesday",1987-03-24
"84",134,-27.4335443,45,53,40.125,37.9166666666667,"Wednesday",1987-03-25
"85",107,1.5664556962,45,52,40.25,40.5,"Thursday",1987-03-26
"86",102,5.5664556962,43,49.1666666666667,38.5,42.1666666666667,"Friday",1987-03-27
"87",128,-2.762280416,46,44.3333333333333,35,39.625,"Saturday",1987-03-28
"88",101,-4.433544304,39.5,44.6666666666667,30.125,37.9166666666667,"Sunday",1987-03-29
"89",125,-14.4335443,29,42.8333333333333,12.875,34.5416666666667,"Monday",1987-03-30
"90",106,1.5664556962,30,38.1666666666667,19,26,"Tuesday",1987-03-31
"91",119,-5.433544304,41.5,32.8333333333333,22.875,20.6666666666667,"Wednesday",1987-04-01
"92",91,2.5664556962,29.5,33.5,14.625,18.25,"Thursday",1987-04-02
"93",120,-15.38019522,28,33.6666666666667,17.375,18.8333333333333,"Friday",1987-04-03
"94",123,-15.4335443,35.5,33,17.125,18.2916666666667,"Saturday",1987-04-04
"95",108,-23.4335443,43.5,31,33,16.375,"Sunday",1987-04-05
"96",117,-22.4335443,50,35.6666666666667,21.25,22.5,"Monday",1987-04-06
"97",134,-13.4335443,49.5,43,30.875,23.7916666666667,"Tuesday",1987-04-07
"98",120,-22.4335443,40,47.6666666666667,31.375,28.375,"Wednesday",1987-04-08
"99",120,41.959032312,50,46.5,28.5,27.8333333333333,"Thursday",1987-04-09
"100",110,27.566455696,59.5,46.5,44.875,30.25,"Friday",1987-04-10
"101",111,-17.4335443,51,49.8333333333333,45.625,34.9166666666667,"Saturday",1987-04-11
"102",129,-4.433544304,49.5,53.5,43.125,39.6666666666667,"Sunday",1987-04-12
"103",93,5.5664556962,48,53.3333333333333,47.25,44.5416666666667,"Monday",1987-04-13
"104",140,-8.433544304,52.5,49.5,51.5,45.3333333333333,"Tuesday",1987-04-14
"105",106,-4.99446487,51.5,50,50.125,47.2916666666667,"Wednesday",1987-04-15
"106",110,-15.13186649,54,50.6666666666667,49.25,49.625,"Thursday",1987-04-16
"107",115,1.5664556962,57.5,52.6666666666667,47,50.2916666666667,"Friday",1987-04-17
"108",106,64.566455696,61.5,54.3333333333333,49.875,48.7916666666667,"Saturday",1987-04-18
"109",105,NA,64,57.6666666666667,53,48.7083333333333,"Sunday",1987-04-19
"110",120,13.566455696,71,61,55.75,49.9583333333333,"Monday",1987-04-20
"111",97,0.1250241083,56,65.5,39,52.875,"Tuesday",1987-04-21
"112",136,-13.4335443,47,63.6666666666667,45.625,49.25,"Wednesday",1987-04-22
"113",112,-15.4335443,52,58,43.75,46.7916666666667,"Thursday",1987-04-23
"114",108,-25.4335443,49,51.6666666666667,30.75,42.7916666666667,"Friday",1987-04-24
"115",130,-11.4335443,51,49.3333333333333,32.5,40.0416666666667,"Saturday",1987-04-25
"116",102,16.566455696,57,50.6666666666667,33.875,35.6666666666667,"Sunday",1987-04-26
"117",107,-0.260716437,56.5,52.3333333333333,31.625,32.375,"Monday",1987-04-27
"118",118,30.566455696,53.5,54.8333333333333,28.625,32.6666666666667,"Tuesday",1987-04-28
"119",110,19.566455696,64.5,55.6666666666667,34.625,31.375,"Wednesday",1987-04-29
"120",101,-22.4335443,46,58.1666666666667,16.625,31.625,"Thursday",1987-04-30
"121",117,24.566455696,53.5,54.6666666666667,39,26.625,"Friday",1987-05-01
"122",123,-11.4335443,53,54.6666666666667,47.375,30.0833333333333,"Saturday",1987-05-02
"123",110,-16.38195511,45,50.8333333333333,35,34.3333333333333,"Sunday",1987-05-03
"124",108,-15.4335443,48,50.5,29.375,40.4583333333333,"Monday",1987-05-04
"125",134,18.566455696,50.5,48.6666666666667,32.625,37.25,"Tuesday",1987-05-05
"126",131,NA,58,47.8333333333333,40.125,32.3333333333333,"Wednesday",1987-05-06
"127",126,-0.433544304,59.5,52.1666666666667,40.875,34.0416666666667,"Thursday",1987-05-07
"128",108,12.566455696,59,56,33.375,37.875,"Friday",1987-05-08
"129",112,20.754675433,69.5,58.8333333333333,43.75,38.125,"Saturday",1987-05-09
"130",116,NA,74.5,62.6666666666667,51.5,39.3333333333333,"Sunday",1987-05-10
"131",131,39.566455696,71,67.6666666666667,58,42.875,"Monday",1987-05-11
"132",123,-29.4335443,51.5,71.6666666666667,32.75,51.0833333333333,"Tuesday",1987-05-12
"133",104,-21.4335443,59,65.6666666666667,53,47.4166666666667,"Wednesday",1987-05-13
"134",123,NA,69,60.5,53.375,47.9166666666667,"Thursday",1987-05-14
"135",105,-14.91560326,56.5,59.8333333333333,33.875,46.375,"Friday",1987-05-15
"136",108,5.5664556962,62.5,61.5,42.625,46.75,"Saturday",1987-05-16
"137",123,21.566455696,70.5,62.6666666666667,63.625,43.2916666666667,"Sunday",1987-05-17
"138",134,NA,66.5,63.1666666666667,57.625,46.7083333333333,"Monday",1987-05-18
"139",101,0.5664556962,67.5,66.5,61.125,54.625,"Tuesday",1987-05-19
"140",114,5.5664556962,66.5,68.1666666666667,59.75,60.7916666666667,"Wednesday",1987-05-20
"141",125,8.1586013876,74,66.8333333333333,66.75,59.5,"Thursday",1987-05-21
"142",111,NA,61.5,69.3333333333333,49.75,62.5416666666667,"Friday",1987-05-22
"143",107,-28.4335443,51,67.3333333333333,45.625,58.75,"Saturday",1987-05-23
"144",105,NA,50.5,62.1666666666667,45.125,54.0416666666667,"Sunday",1987-05-24
"145",115,8.5664556962,57.5,54.3333333333333,62.875,46.8333333333333,"Monday",1987-05-25
"146",106,-13.4335443,73,53,67.625,51.2083333333333,"Tuesday",1987-05-26
"147",113,5.2256011578,78.5,60.3333333333333,67.375,58.5416666666667,"Wednesday",1987-05-27
"148",104,7.5664556962,78.5,69.6666666666667,65.75,65.9583333333333,"Thursday",1987-05-28
"149",106,8.5664556962,78.5,76.6666666666667,67.125,66.9166666666667,"Friday",1987-05-29
"150",115,-6.433544304,76,78.5,65.625,66.75,"Saturday",1987-05-30
"151",102,-9.433544304,76,77.6666666666667,60.125,66.1666666666667,"Sunday",1987-05-31
"152",112,-11.4335443,74.5,76.8333333333333,68.5,64.2916666666667,"Monday",1987-06-01
"153",111,-3.076225877,72,75.5,64.75,64.75,"Tuesday",1987-06-02
"154",120,0.5664556962,69,74.1666666666667,47.25,64.4583333333333,"Wednesday",1987-06-03
"155",103,3.5664556962,63,71.8333333333333,45,60.1666666666667,"Thursday",1987-06-04
"156",98,19.566455696,70,68,54.875,52.3333333333333,"Friday",1987-06-05
"157",101,15.566455696,71,67.3333333333333,54.625,49.0416666666667,"Saturday",1987-06-06
"158",102,4.5664556962,77.5,68,58.125,51.5,"Sunday",1987-06-07
"159",143,12.991934721,74.5,72.8333333333333,60.25,55.875,"Monday",1987-06-08
"160",88,-26.4335443,57.5,74.3333333333333,41.125,57.6666666666667,"Tuesday",1987-06-09
"161",106,8.5664556962,61,69.8333333333333,51,53.1666666666667,"Wednesday",1987-06-10
"162",96,4.5664556962,72.5,64.3333333333333,68.75,50.7916666666667,"Thursday",1987-06-11
"163",117,-0.433544304,80,63.6666666666667,62,53.625,"Friday",1987-06-12
"164",97,31.566455696,77,71.1666666666667,62,60.5833333333333,"Saturday",1987-06-13
"165",146,6.1756153283,83,76.5,68.5,64.25,"Sunday",1987-06-14
"166",120,-13.4335443,73.5,80,48.5,64.1666666666667,"Monday",1987-06-15
"167",109,4.5664556962,75,77.8333333333333,52.875,59.6666666666667,"Tuesday",1987-06-16
"168",112,29.566455696,77,77.1666666666667,61,56.625,"Wednesday",1987-06-17
"169",132,48.566455696,80.5,75.1666666666667,62.75,54.125,"Thursday",1987-06-18
"170",106,38.566455696,77.5,77.5,61.375,58.875,"Friday",1987-06-19
"171",122,22.842281995,77,78.3333333333333,73.625,61.7083333333333,"Saturday",1987-06-20
"172",112,0.5664556962,76,78.3333333333333,71.125,65.9166666666667,"Sunday",1987-06-21
"173",117,10.566455696,67,76.8333333333333,59,68.7083333333333,"Monday",1987-06-22
"174",100,7.5664556962,72.5,73.3333333333333,57.75,67.9166666666667,"Tuesday",1987-06-23
"175",108,21.566455696,76,71.8333333333333,65.75,62.625,"Wednesday",1987-06-24
"176",126,11.566455696,70.5,71.8333333333333,62,60.8333333333333,"Thursday",1987-06-25
"177",105,-6.793351804,69,73,50.75,61.8333333333333,"Friday",1987-06-26
"178",111,-5.433544304,64.5,71.8333333333333,48.25,59.5,"Saturday",1987-06-27
"179",122,-7.433544304,72,68,53.625,53.6666666666667,"Sunday",1987-06-28
"180",108,1.5664556962,72.5,68.5,66,50.875,"Monday",1987-06-29
"181",106,1.5664556962,70.5,69.6666666666667,63,55.9583333333333,"Tuesday",1987-06-30
"182",104,-19.4335443,68.5,71.6666666666667,60.625,60.875,"Wednesday",1987-07-01
"183",120,7.3026900576,71,70.5,60.25,63.2083333333333,"Thursday",1987-07-02
"184",112,6.5664556962,77.5,70,60.375,61.2916666666667,"Friday",1987-07-03
"185",101,-17.4335443,72.5,72.3333333333333,59.5,60.4166666666667,"Saturday",1987-07-04
"186",114,NA,72.5,73.6666666666667,69.125,60.0416666666667,"Sunday",1987-07-05
"187",113,-8.398734177,80,74.1666666666667,69,63,"Monday",1987-07-06
"188",119,NA,80,75,69.125,65.875,"Tuesday",1987-07-07
"189",126,1.7904072017,80.5,77.5,69.25,69.0833333333333,"Wednesday",1987-07-08
"190",108,-10.53312303,80.5,80.1666666666667,67.625,69.125,"Thursday",1987-07-09
"191",95,-8.694006309,80,80.3333333333333,67.625,68.6666666666667,"Friday",1987-07-10
"192",125,37.252365931,80,80.3333333333333,73.5,68.1666666666667,"Saturday",1987-07-11
"193",119,5.2523659306,79.5,80.1666666666667,65.5,69.5833333333333,"Sunday",1987-07-12
"194",77,-8.80126183,64.5,79.8333333333333,58.75,68.875,"Monday",1987-07-13
"195",113,-14.40100071,67,74.6666666666667,53,65.9166666666667,"Tuesday",1987-07-14
"196",110,-24.84858044,63,70.3333333333333,54.375,59.0833333333333,"Wednesday",1987-07-15
"197",108,-15.13656925,65.5,64.8333333333333,58.625,55.375,"Thursday",1987-07-16
"198",102,-2.845425868,78,65.1666666666667,67,55.3333333333333,"Friday",1987-07-17
"199",110,9.0977917981,79.5,68.8333333333333,68.375,60,"Saturday",1987-07-18
"200",129,30.147798742,84.5,74.3333333333333,73.625,64.6666666666667,"Sunday",1987-07-19
"201",140,28.807469567,81.5,80.6666666666667,67.625,69.6666666666667,"Monday",1987-07-20
"202",105,16.116719243,81,81.8333333333333,71.25,69.875,"Tuesday",1987-07-21
"203",110,56.154574132,80.5,82.3333333333333,69.625,70.8333333333333,"Wednesday",1987-07-22
"204",121,75.1829653,82,81,70,69.5,"Thursday",1987-07-23
"205",110,38.873522964,83,81.1666666666667,71.25,70.2916666666667,"Friday",1987-07-24
"206",115,11.356466877,84.5,81.8333333333333,71.125,70.2916666666667,"Saturday",1987-07-25
"207",105,-5.700178793,78.5,83.1666666666667,66.25,70.7916666666667,"Sunday",1987-07-26
"208",112,-9.581761006,71,82,62.625,69.5416666666667,"Monday",1987-07-27
"209",109,-3.004237288,72.5,78,63.25,66.6666666666667,"Tuesday",1987-07-28
"210",125,-16.5408805,78,74,70.25,64.0416666666667,"Wednesday",1987-07-29
"211",92,33.468553459,79.5,73.8333333333333,72.375,65.375,"Thursday",1987-07-30
"212",110,6.4622641509,80.5,76.6666666666667,75.75,68.625,"Friday",1987-07-31
"213",113,20.944949561,87,79.3333333333333,75.25,72.7916666666667,"Saturday",1987-08-01
"214",115,4.5566037736,86,82.3333333333333,73.875,74.4583333333333,"Sunday",1987-08-02
"215",137,12.645768025,83,84.5,68.625,74.9583333333333,"Monday",1987-08-03
"216",112,-20.28840125,75,85.3333333333333,60.625,72.5833333333333,"Tuesday",1987-08-04
"217",126,-26.20689655,72,81.3333333333333,55.75,67.7083333333333,"Wednesday",1987-08-05
"218",111,8.7586206897,72,76.6666666666667,62.125,61.6666666666667,"Thursday",1987-08-06
"219",95,14.785080976,79.5,73,67.375,59.5,"Friday",1987-08-07
"220",113,14.937304075,73.5,74.5,73.625,61.75,"Saturday",1987-08-08
"221",107,-12.02507837,72.5,75,64.125,67.7083333333333,"Sunday",1987-08-09
"222",96,-17.03125,71,75.1666666666667,63.125,68.375,"Monday",1987-08-10
"223",98,-0.040625,74.5,72.3333333333333,61.875,66.9583333333333,"Tuesday",1987-08-11
"224",83,38.959375,76,72.6666666666667,63.625,63.0416666666667,"Wednesday",1987-08-12
"225",121,28.637180863,75.5,73.8333333333333,69.5,62.875,"Thursday",1987-08-13
"226",107,9.8738877119,74,75.3333333333333,74.625,65,"Friday",1987-08-14
"227",115,0.246875,79.5,75.1666666666667,75.875,69.25,"Saturday",1987-08-15
"228",125,1.8361625362,80,76.3333333333333,73.875,73.3333333333333,"Sunday",1987-08-16
"229",120,-1.889937107,73.5,77.8333333333333,60.25,74.7916666666667,"Monday",1987-08-17
"230",102,7.0471698113,69.5,77.6666666666667,64.25,70,"Tuesday",1987-08-18
"231",102,-5.444647182,70,74.3333333333333,56.75,66.125,"Wednesday",1987-08-19
"232",118,7.820754717,70,71,62.625,60.4166666666667,"Thursday",1987-08-20
"233",118,1.7327044025,76,69.8333333333333,72.5,61.2083333333333,"Friday",1987-08-21
"234",107,-9.116352201,71.5,72,54.625,63.9583333333333,"Saturday",1987-08-22
"235",107,-16.99371069,63,72.5,49,63.25,"Sunday",1987-08-23
"236",133,2.0786163522,61.5,70.1666666666667,51.375,58.7083333333333,"Monday",1987-08-24
"237",107,0.2881169387,59,65.3333333333333,58,51.6666666666667,"Tuesday",1987-08-25
"238",96,9.0408805031,62,61.1666666666667,63.25,52.7916666666667,"Wednesday",1987-08-26
"239",103,-20.93690852,63.5,60.8333333333333,61.375,57.5416666666667,"Thursday",1987-08-27
"240",117,-8.952681388,63.5,61.5,54.625,60.875,"Friday",1987-08-28
"241",100,NA,65.5,63,57,59.75,"Saturday",1987-08-29
"242",125,-5.927444795,72,64.1666666666667,59.625,57.6666666666667,"Sunday",1987-08-30
"243",113,-10.8712207,62,67,46.5,57.0833333333333,"Monday",1987-08-31
"244",112,-3.791155509,64,66.5,49.5,54.375,"Tuesday",1987-09-01
"245",107,-23.95583596,61.5,66,50.125,51.875,"Wednesday",1987-09-02
"246",122,-16.88328076,60.5,62.5,49.25,48.7083333333333,"Thursday",1987-09-03
"247",115,NA,69,62,59.125,49.625,"Friday",1987-09-04
"248",104,NA,73,63.6666666666667,57.375,52.8333333333333,"Saturday",1987-09-05
"249",118,26.964005022,75,67.5,66.25,55.25,"Sunday",1987-09-06
"250",137,NA,70.5,72.3333333333333,65.625,60.9166666666667,"Monday",1987-09-07
"251",117,NA,72,72.8333333333333,63.5,63.0833333333333,"Tuesday",1987-09-08
"252",104,NA,68.5,72.5,56.125,65.125,"Wednesday",1987-09-09
"253",105,NA,67.5,70.3333333333333,57.75,61.75,"Thursday",1987-09-10
"254",109,NA,69,69.3333333333333,57,59.125,"Friday",1987-09-11
"255",121,-5.804613936,68,68.3333333333333,50.375,56.9583333333333,"Saturday",1987-09-12
"256",108,NA,59,68.1666666666667,53.25,55.0416666666667,"Sunday",1987-09-13
"257",114,NA,61.5,65.3333333333333,58,53.5416666666667,"Monday",1987-09-14
"258",108,NA,72,62.8333333333333,66,53.875,"Tuesday",1987-09-15
"259",111,-7.531847134,69,64.1666666666667,66.875,59.0833333333333,"Wednesday",1987-09-16
"260",110,-10.4600639,67.5,67.5,64.25,63.625,"Thursday",1987-09-17
"261",107,-10.04063641,63.5,69.5,60.375,65.7083333333333,"Friday",1987-09-18
"262",107,NA,61,66.6666666666667,50.25,63.8333333333333,"Saturday",1987-09-19
"263",108,NA,57,64,50.875,58.2916666666667,"Sunday",1987-09-20
"264",139,-11.36421725,55.5,60.5,54.75,53.8333333333333,"Monday",1987-09-21
"265",130,NA,61,57.8333333333333,52.5,51.9583333333333,"Tuesday",1987-09-22
"266",111,-2.428115016,63,57.8333333333333,51,52.7083333333333,"Wednesday",1987-09-23
"267",112,-12.64085518,59.5,59.8333333333333,46.25,52.75,"Thursday",1987-09-24
"268",106,14.50798722,56.5,61.1666666666667,43,49.9166666666667,"Friday",1987-09-25
"269",127,1.4696485623,65,59.6666666666667,53.375,46.75,"Saturday",1987-09-26
"270",110,8.3865814696,75.5,60.3333333333333,54,47.5416666666667,"Sunday",1987-09-27
"271",120,16.42172524,69,65.6666666666667,61.125,50.125,"Monday",1987-09-28
"272",115,-6.584664537,61.5,69.8333333333333,52.375,56.1666666666667,"Tuesday",1987-09-29
"273",120,-10.32498758,55,68.6666666666667,35.625,55.8333333333333,"Wednesday",1987-09-30
"274",117,3.4249201278,55.5,61.8333333333333,46.375,49.7083333333333,"Thursday",1987-10-01
"275",128,11.469648562,47,57.3333333333333,32.25,44.7916666666667,"Friday",1987-10-02
"276",115,11.408945687,42.5,52.5,29.875,38.0833333333333,"Saturday",1987-10-03
"277",123,9.428115016,52,48.3333333333333,30.75,36.1666666666667,"Sunday",1987-10-04
"278",118,7.3557692308,60,47.1666666666667,41.25,30.9583333333333,"Monday",1987-10-05
"279",137,-13.37295927,45.5,51.5,38,33.9583333333333,"Tuesday",1987-10-06
"280",134,-4.685897436,39.5,52.5,26.875,36.6666666666667,"Wednesday",1987-10-07
"281",134,0.2724358974,41.5,48.3333333333333,26.875,35.375,"Thursday",1987-10-08
"282",115,-2.480769231,53.5,42.1666666666667,31.25,30.5833333333333,"Friday",1987-10-09
"283",103,-12.5224359,42.5,44.8333333333333,32.625,28.3333333333333,"Saturday",1987-10-10
"284",106,-8.557692308,39,45.8333333333333,25.5,30.25,"Sunday",1987-10-11
"285",123,6.3840101727,42.5,45,30.375,29.7916666666667,"Monday",1987-10-12
"286",116,NA,49.5,41.3333333333333,33.375,29.5,"Tuesday",1987-10-13
"287",120,0.4662379421,55.5,43.6666666666667,38.125,29.75,"Wednesday",1987-10-14
"288",130,11.488745981,63,49.1666666666667,36,33.9583333333333,"Thursday",1987-10-15
"289",111,17.498392283,62.5,56,55.125,35.8333333333333,"Friday",1987-10-16
"290",122,-21.50160772,48,60.3333333333333,42.125,43.0833333333333,"Saturday",1987-10-17
"291",121,-9.337976526,53.5,57.8333333333333,43.75,44.4166666666667,"Sunday",1987-10-18
"292",117,-29.40705128,49.5,54.6666666666667,40.25,47,"Monday",1987-10-19
"293",111,-16.3974359,45.5,50.3333333333333,32.375,42.0416666666667,"Tuesday",1987-10-20
"294",114,-18.96898088,37,49.5,33.25,38.7916666666667,"Wednesday",1987-10-21
"295",104,-15.45192308,43,44,34.25,35.2916666666667,"Thursday",1987-10-22
"296",98,9.4679487179,39,41.8333333333333,31.125,33.2916666666667,"Friday",1987-10-23
"297",139,-7.402627964,38.5,39.6666666666667,33.5,32.875,"Saturday",1987-10-24
"298",126,NA,42,40.1666666666667,31.125,32.9583333333333,"Sunday",1987-10-25
"299",115,-7.58974359,44.5,39.8333333333333,45.375,31.9166666666667,"Monday",1987-10-26
"300",119,-9.53525641,44.5,41.6666666666667,34.5,36.6666666666667,"Tuesday",1987-10-27
"301",114,-9.400641026,38.5,43.6666666666667,28.875,37,"Wednesday",1987-10-28
"302",123,7.6891025641,44.5,42.5,37.75,36.25,"Thursday",1987-10-29
"303",125,16.464358261,54.5,42.5,42.875,33.7083333333333,"Friday",1987-10-30
"304",116,19.701923077,52,45.8333333333333,49.375,36.5,"Saturday",1987-10-31
"305",118,-10.30769231,58,50.3333333333333,58.5,43.3333333333333,"Sunday",1987-11-01
"306",138,5.5961538462,64,54.8333333333333,56.625,50.25,"Monday",1987-11-02
"307",98,NA,66,58,49.875,54.8333333333333,"Tuesday",1987-11-03
"308",114,6.5641025641,56.5,62.6666666666667,38.25,55,"Wednesday",1987-11-04
"309",117,-10.67042281,40.5,62.1666666666667,19.875,48.25,"Thursday",1987-11-05
"310",108,3.4757946607,39.5,54.3333333333333,25.75,36,"Friday",1987-11-06
"311",109,5.3674121406,45.5,45.5,29.5,27.9583333333333,"Saturday",1987-11-07
"312",121,24.444089457,49.5,41.8333333333333,41.75,25.0416666666667,"Sunday",1987-11-08
"313",109,-23.49363057,35,44.8333333333333,18.5,32.3333333333333,"Monday",1987-11-09
"314",127,-29.35031847,34,43.3333333333333,24.875,29.9166666666667,"Tuesday",1987-11-10
"315",143,-5.955834876,35,39.5,23.75,28.375,"Wednesday",1987-11-11
"316",118,5.3885350318,43.5,34.6666666666667,31.125,22.375,"Thursday",1987-11-12
