"","death","pm10tmean","tmpd","dptp","dow","date"
"92",91,2.5664556962,29.5,14.625,"Thursday",1987-04-02
"93",120,-15.38019522,28,17.375,"Friday",1987-04-03
"94",123,-15.4335443,35.5,17.125,"Saturday",1987-04-04
"95",108,-23.4335443,43.5,33,"Sunday",1987-04-05
"96",117,-22.4335443,50,21.25,"Monday",1987-04-06
"97",134,-13.4335443,49.5,30.875,"Tuesday",1987-04-07
"98",120,-22.4335443,40,31.375,"Wednesday",1987-04-08
"99",120,41.959032312,50,28.5,"Thursday",1987-04-09
"100",110,27.566455696,59.5,44.875,"Friday",1987-04-10
"101",111,-17.4335443,51,45.625,"Saturday",1987-04-11
"102",129,-4.433544304,49.5,43.125,"Sunday",1987-04-12
"103",93,5.5664556962,48,47.25,"Monday",1987-04-13
"104",140,-8.433544304,52.5,51.5,"Tuesday",1987-04-14
"105",106,-4.99446487,51.5,50.125,"Wednesday",1987-04-15
"106",110,-15.13186649,54,49.25,"Thursday",1987-04-16
"107",115,1.5664556962,57.5,47,"Friday",1987-04-17
"108",106,64.566455696,61.5,49.875,"Saturday",1987-04-18
"109",105,NA,64,53,"Sunday",1987-04-19
"110",120,13.566455696,71,55.75,"Monday",1987-04-20
"111",97,0.1250241083,56,39,"Tuesday",1987-04-21
"112",136,-13.4335443,47,45.625,"Wednesday",1987-04-22
"113",112,-15.4335443,52,43.75,"Thursday",1987-04-23
"114",108,-25.4335443,49,30.75,"Friday",1987-04-24
"115",130,-11.4335443,51,32.5,"Saturday",1987-04-25
"116",102,16.566455696,57,33.875,"Sunday",1987-04-26
"117",107,-0.260716437,56.5,31.625,"Monday",1987-04-27
"118",118,30.566455696,53.5,28.625,"Tuesday",1987-04-28
"119",110,19.566455696,64.5,34.625,"Wednesday",1987-04-29
"120",101,-22.4335443,46,16.625,"Thursday",1987-04-30
"121",117,24.566455696,53.5,39,"Friday",1987-05-01
"122",123,-11.4335443,53,47.375,"Saturday",1987-05-02
"123",110,-16.38195511,45,35,"Sunday",1987-05-03
"124",108,-15.4335443,48,29.375,"Monday",1987-05-04
"125",134,18.566455696,50.5,32.625,"Tuesday",1987-05-05
"126",131,NA,58,40.125,"Wednesday",1987-05-06
"127",126,-0.433544304,59.5,40.875,"Thursday",1987-05-07
"128",108,12.566455696,59,33.375,"Friday",1987-05-08
"129",112,20.754675433,69.5,43.75,"Saturday",1987-05-09
"130",116,NA,74.5,51.5,"Sunday",1987-05-10
"131",131,39.566455696,71,58,"Monday",1987-05-11
"132",123,-29.4335443,51.5,32.75,"Tuesday",1987-05-12
"133",104,-21.4335443,59,53,"Wednesday",1987-05-13
"134",123,NA,69,53.375,"Thursday",1987-05-14
"135",105,-14.91560326,56.5,33.875,"Friday",1987-05-15
"136",108,5.5664556962,62.5,42.625,"Saturday",1987-05-16
"137",123,21.566455696,70.5,63.625,"Sunday",1987-05-17
"138",134,NA,66.5,57.625,"Monday",1987-05-18
"139",101,0.5664556962,67.5,61.125,"Tuesday",1987-05-19
"140",114,5.5664556962,66.5,59.75,"Wednesday",1987-05-20
"141",125,8.1586013876,74,66.75,"Thursday",1987-05-21
"142",111,NA,61.5,49.75,"Friday",1987-05-22
"143",107,-28.4335443,51,45.625,"Saturday",1987-05-23
"144",105,NA,50.5,45.125,"Sunday",1987-05-24
"145",115,8.5664556962,57.5,62.875,"Monday",1987-05-25
"146",106,-13.4335443,73,67.625,"Tuesday",1987-05-26
"147",113,5.2256011578,78.5,67.375,"Wednesday",1987-05-27
"148",104,7.5664556962,78.5,65.75,"Thursday",1987-05-28
"149",106,8.5664556962,78.5,67.125,"Friday",1987-05-29
"150",115,-6.433544304,76,65.625,"Saturday",1987-05-30
"151",102,-9.433544304,76,60.125,"Sunday",1987-05-31
"152",112,-11.4335443,74.5,68.5,"Monday",1987-06-01
"153",111,-3.076225877,72,64.75,"Tuesday",1987-06-02
"154",120,0.5664556962,69,47.25,"Wednesday",1987-06-03
"155",103,3.5664556962,63,45,"Thursday",1987-06-04
"156",98,19.566455696,70,54.875,"Friday",1987-06-05
"157",101,15.566455696,71,54.625,"Saturday",1987-06-06
"158",102,4.5664556962,77.5,58.125,"Sunday",1987-06-07
"159",143,12.991934721,74.5,60.25,"Monday",1987-06-08
"160",88,-26.4335443,57.5,41.125,"Tuesday",1987-06-09
"161",106,8.5664556962,61,51,"Wednesday",1987-06-10
"162",96,4.5664556962,72.5,68.75,"Thursday",1987-06-11
"163",117,-0.433544304,80,62,"Friday",1987-06-12
"164",97,31.566455696,77,62,"Saturday",1987-06-13
"165",146,6.1756153283,83,68.5,"Sunday",1987-06-14
"166",120,-13.4335443,73.5,48.5,"Monday",1987-06-15
"167",109,4.5664556962,75,52.875,"Tuesday",1987-06-16
"168",112,29.566455696,77,61,"Wednesday",1987-06-17
"169",132,48.566455696,80.5,62.75,"Thursday",1987-06-18
"170",106,38.566455696,77.5,61.375,"Friday",1987-06-19
"171",122,22.842281995,77,73.625,"Saturday",1987-06-20
"172",112,0.5664556962,76,71.125,"Sunday",1987-06-21
"173",117,10.566455696,67,59,"Monday",1987-06-22
"174",100,7.5664556962,72.5,57.75,"Tuesday",1987-06-23
"175",108,21.566455696,76,65.75,"Wednesday",1987-06-24
"176",126,11.566455696,70.5,62,"Thursday",1987-06-25
"177",105,-6.793351804,69,50.75,"Friday",1987-06-26
"178",111,-5.433544304,64.5,48.25,"Saturday",1987-06-27
"179",122,-7.433544304,72,53.625,"Sunday",1987-06-28
"180",108,1.5664556962,72.5,66,"Monday",1987-06-29
"181",106,1.5664556962,70.5,63,"Tuesday",1987-06-30
"182",104,-19.4335443,68.5,60.625,"Wednesday",1987-07-01
"183",120,7.3026900576,71,60.25,"Thursday",1987-07-02
"184",112,6.5664556962,77.5,60.375,"Friday",1987-07-03
"185",101,-17.4335443,72.5,59.5,"Saturday",1987-07-04
"186",114,NA,72.5,69.125,"Sunday",1987-07-05
"187",113,-8.398734177,80,69,"Monday",1987-07-06
"188",119,NA,80,69.125,"Tuesday",1987-07-07
"189",126,1.7904072017,80.5,69.25,"Wednesday",1987-07-08
"190",108,-10.53312303,80.5,67.625,"Thursday",1987-07-09
"191",95,-8.694006309,80,67.625,"Friday",1987-07-10
"192",125,37.252365931,80,73.5,"Saturday",1987-07-11
"193",119,5.2523659306,79.5,65.5,"Sunday",1987-07-12
"194",77,-8.80126183,64.5,58.75,"Monday",1987-07-13
"195",113,-14.40100071,67,53,"Tuesday",1987-07-14
"196",110,-24.84858044,63,54.375,"Wednesday",1987-07-15
"197",108,-15.13656925,65.5,58.625,"Thursday",1987-07-16
"198",102,-2.845425868,78,67,"Friday",1987-07-17
"199",110,9.0977917981,79.5,68.375,"Saturday",1987-07-18
"200",129,30.147798742,84.5,73.625,"Sunday",1987-07-19
"201",140,28.807469567,81.5,67.625,"Monday",1987-07-20
"202",105,16.116719243,81,71.25,"Tuesday",1987-07-21
"203",110,56.154574132,80.5,69.625,"Wednesday",1987-07-22
"204",121,75.1829653,82,70,"Thursday",1987-07-23
"205",110,38.873522964,83,71.25,"Friday",1987-07-24
"206",115,11.356466877,84.5,71.125,"Saturday",1987-07-25
"207",105,-5.700178793,78.5,66.25,"Sunday",1987-07-26
"208",112,-9.581761006,71,62.625,"Monday",1987-07-27
"209",109,-3.004237288,72.5,63.25,"Tuesday",1987-07-28
"210",125,-16.5408805,78,70.25,"Wednesday",1987-07-29
"211",92,33.468553459,79.5,72.375,"Thursday",1987-07-30
"212",110,6.4622641509,80.5,75.75,"Friday",1987-07-31
"213",113,20.944949561,87,75.25,"Saturday",1987-08-01
"214",115,4.5566037736,86,73.875,"Sunday",1987-08-02
"215",137,12.645768025,83,68.625,"Monday",1987-08-03
"216",112,-20.28840125,75,60.625,"Tuesday",1987-08-04
"217",126,-26.20689655,72,55.75,"Wednesday",1987-08-05
"218",111,8.7586206897,72,62.125,"Thursday",1987-08-06
"219",95,14.785080976,79.5,67.375,"Friday",1987-08-07
"220",113,14.937304075,73.5,73.625,"Saturday",1987-08-08
"221",107,-12.02507837,72.5,64.125,"Sunday",1987-08-09
"222",96,-17.03125,71,63.125,"Monday",1987-08-10
"223",98,-0.040625,74.5,61.875,"Tuesday",1987-08-11
"224",83,38.959375,76,63.625,"Wednesday",1987-08-12
"225",121,28.637180863,75.5,69.5,"Thursday",1987-08-13
"226",107,9.8738877119,74,74.625,"Friday",1987-08-14
"227",115,0.246875,79.5,75.875,"Saturday",1987-08-15
"228",125,1.8361625362,80,73.875,"Sunday",1987-08-16
"229",120,-1.889937107,73.5,60.25,"Monday",1987-08-17
"230",102,7.0471698113,69.5,64.25,"Tuesday",1987-08-18
"231",102,-5.444647182,70,56.75,"Wednesday",1987-08-19
"232",118,7.820754717,70,62.625,"Thursday",1987-08-20
"233",118,1.7327044025,76,72.5,"Friday",1987-08-21
"234",107,-9.116352201,71.5,54.625,"Saturday",1987-08-22
"235",107,-16.99371069,63,49,"Sunday",1987-08-23
"236",133,2.0786163522,61.5,51.375,"Monday",1987-08-24
"237",107,0.2881169387,59,58,"Tuesday",1987-08-25
"238",96,9.0408805031,62,63.25,"Wednesday",1987-08-26
"239",103,-20.93690852,63.5,61.375,"Thursday",1987-08-27
"240",117,-8.952681388,63.5,54.625,"Friday",1987-08-28
"241",100,NA,65.5,57,"Saturday",1987-08-29
"242",125,-5.927444795,72,59.625,"Sunday",1987-08-30
"243",113,-10.8712207,62,46.5,"Monday",1987-08-31
"244",112,-3.791155509,64,49.5,"Tuesday",1987-09-01
"245",107,-23.95583596,61.5,50.125,"Wednesday",1987-09-02
"246",122,-16.88328076,60.5,49.25,"Thursday",1987-09-03
"247",115,NA,69,59.125,"Friday",1987-09-04
"248",104,NA,73,57.375,"Saturday",1987-09-05
"249",118,26.964005022,75,66.25,"Sunday",1987-09-06
"250",137,NA,70.5,65.625,"Monday",1987-09-07
"251",117,NA,72,63.5,"Tuesday",1987-09-08
"252",104,NA,68.5,56.125,"Wednesday",1987-09-09
"253",105,NA,67.5,57.75,"Thursday",1987-09-10
"254",109,NA,69,57,"Friday",1987-09-11
"255",121,-5.804613936,68,50.375,"Saturday",1987-09-12
"256",108,NA,59,53.25,"Sunday",1987-09-13
"257",114,NA,61.5,58,"Monday",1987-09-14
"258",108,NA,72,66,"Tuesday",1987-09-15
"259",111,-7.531847134,69,66.875,"Wednesday",1987-09-16
"260",110,-10.4600639,67.5,64.25,"Thursday",1987-09-17
"261",107,-10.04063641,63.5,60.375,"Friday",1987-09-18
"262",107,NA,61,50.25,"Saturday",1987-09-19
"263",108,NA,57,50.875,"Sunday",1987-09-20
"264",139,-11.36421725,55.5,54.75,"Monday",1987-09-21
"265",130,NA,61,52.5,"Tuesday",1987-09-22
"266",111,-2.428115016,63,51,"Wednesday",1987-09-23
"267",112,-12.64085518,59.5,46.25,"Thursday",1987-09-24
"268",106,14.50798722,56.5,43,"Friday",1987-09-25
"269",127,1.4696485623,65,53.375,"Saturday",1987-09-26
"270",110,8.3865814696,75.5,54,"Sunday",1987-09-27
"271",120,16.42172524,69,61.125,"Monday",1987-09-28
"272",115,-6.584664537,61.5,52.375,"Tuesday",1987-09-29
"273",120,-10.32498758,55,35.625,"Wednesday",1987-09-30
"274",117,3.4249201278,55.5,46.375,"Thursday",1987-10-01
"275",128,11.469648562,47,32.25,"Friday",1987-10-02
"276",115,11.408945687,42.5,29.875,"Saturday",1987-10-03
"277",123,9.428115016,52,30.75,"Sunday",1987-10-04
"278",118,7.3557692308,60,41.25,"Monday",1987-10-05
"279",137,-13.37295927,45.5,38,"Tuesday",1987-10-06
"280",134,-4.685897436,39.5,26.875,"Wednesday",1987-10-07
"281",134,0.2724358974,41.5,26.875,"Thursday",1987-10-08
"282",115,-2.480769231,53.5,31.25,"Friday",1987-10-09
"283",103,-12.5224359,42.5,32.625,"Saturday",1987-10-10
"284",106,-8.557692308,39,25.5,"Sunday",1987-10-11
"285",123,6.3840101727,42.5,30.375,"Monday",1987-10-12
"286",116,NA,49.5,33.375,"Tuesday",1987-10-13
"287",120,0.4662379421,55.5,38.125,"Wednesday",1987-10-14
"288",130,11.488745981,63,36,"Thursday",1987-10-15
"289",111,17.498392283,62.5,55.125,"Friday",1987-10-16
"290",122,-21.50160772,48,42.125,"Saturday",1987-10-17
"291",121,-9.337976526,53.5,43.75,"Sunday",1987-10-18
"292",117,-29.40705128,49.5,40.25,"Monday",1987-10-19
"293",111,-16.3974359,45.5,32.375,"Tuesday",1987-10-20
"294",114,-18.96898088,37,33.25,"Wednesday",1987-10-21
"295",104,-15.45192308,43,34.25,"Thursday",1987-10-22
"296",98,9.4679487179,39,31.125,"Friday",1987-10-23
"297",139,-7.402627964,38.5,33.5,"Saturday",1987-10-24
"298",126,NA,42,31.125,"Sunday",1987-10-25
"299",115,-7.58974359,44.5,45.375,"Monday",1987-10-26
"300",119,-9.53525641,44.5,34.5,"Tuesday",1987-10-27
"301",114,-9.400641026,38.5,28.875,"Wednesday",1987-10-28
"302",123,7.6891025641,44.5,37.75,"Thursday",1987-10-29
"303",125,16.464358261,54.5,42.875,"Friday",1987-10-30
"304",116,19.701923077,52,49.375,"Saturday",1987-10-31
"305",118,-10.30769231,58,58.5,"Sunday",1987-11-01
"306",138,5.5961538462,64,56.625,"Monday",1987-11-02
"307",98,NA,66,49.875,"Tuesday",1987-11-03
"308",114,6.5641025641,56.5,38.25,"Wednesday",1987-11-04
"309",117,-10.67042281,40.5,19.875,"Thursday",1987-11-05
"310",108,3.4757946607,39.5,25.75,"Friday",1987-11-06
"311",109,5.3674121406,45.5,29.5,"Saturday",1987-11-07
"312",121,24.444089457,49.5,41.75,"Sunday",1987-11-08
"313",109,-23.49363057,35,18.5,"Monday",1987-11-09
"314",127,-29.35031847,34,24.875,"Tuesday",1987-11-10
"315",143,-5.955834876,35,23.75,"Wednesday",1987-11-11
"316",118,5.3885350318,43.5,31.125,"Thursday",1987-11-12
"317",113,13.425396825,48.5,31.375,"Friday",1987-11-13
"318",125,-23.6984127,47,31.125,"Saturday",1987-11-14
"319",108,9.2349206349,50.5,32,"Sunday",1987-11-15
"320",100,-7.697452229,56,56,"Monday",1987-11-16
"321",112,-17.87098377,50,35.375,"Tuesday",1987-11-17
"322",106,NA,38,29.25,"Wednesday",1987-11-18
"323",128,-13.7843254,37.5,26,"Thursday",1987-11-19
"324",128,-7.647619048,27.5,10.375,"Friday",1987-11-20
"325",121,-14.67405063,25.5,11.5,"Saturday",1987-11-21
"326",128,NA,42,28.75,"Sunday",1987-11-22
"327",127,-6.235373409,43.5,31.75,"Monday",1987-11-23
"328",113,10.306962025,39.5,39.375,"Tuesday",1987-11-24
"329",117,-31.6835443,40,36.875,"Wednesday",1987-11-25
"330",114,-26.71608833,40,35.875,"Thursday",1987-11-26
"331",117,NA,40.5,39.5,"Friday",1987-11-27
"332",115,NA,47,45.5,"Saturday",1987-11-28
"333",103,-24.68590576,39,34.625,"Sunday",1987-11-29
"334",101,NA,37,35.5,"Monday",1987-11-30
"335",134,-14.25396825,32,24.125,"Tuesday",1987-12-01
"336",93,-19.59047619,30,26.375,"Wednesday",1987-12-02
"337",116,-12.62222222,30.5,26.25,"Thursday",1987-12-03
"338",128,-7.568253968,27,19.625,"Friday",1987-12-04
"339",109,-11.94629478,27,24.625,"Saturday",1987-12-05
"340",142,-20.58095238,31.5,29,"Sunday",1987-12-06
"341",124,-17.57006369,38.5,36.25,"Monday",1987-12-07
"342",112,-14.8343949,46.5,49.5,"Tuesday",1987-12-08
"343",116,-22.10509554,49.5,34.375,"Wednesday",1987-12-09
"344",136,-11.08306709,38,31.125,"Thursday",1987-12-10
"345",138,-13.36518273,41,33.625,"Friday",1987-12-11
"346",136,-14.06070288,35,23.75,"Saturday",1987-12-12
"347",108,-8.987220447,31.5,23.5,"Sunday",1987-12-13
"348",125,-0.03514377,30,27.5,"Monday",1987-12-14
"349",140,-24.22683706,31,24.25,"Tuesday",1987-12-15
"350",149,-7.329073482,27.5,16.625,"Wednesday",1987-12-16
"351",118,-10.3319602,20.5,11.75,"Thursday",1987-12-17
"352",131,-7.086261981,23,25.75,"Friday",1987-12-18
"353",111,-23.05774034,34,35,"Saturday",1987-12-19
"354",130,-17.94871795,34,21.25,"Sunday",1987-12-20
"355",125,NA,33,26.125,"Monday",1987-12-21
"356",121,NA,35,29.125,"Tuesday",1987-12-22
"357",144,-1.713116729,35.5,31.25,"Wednesday",1987-12-23
"358",126,NA,41,39.75,"Thursday",1987-12-24
"359",124,-27.16720257,33,25.5,"Friday",1987-12-25
"360",119,NA,27.5,23.75,"Saturday",1987-12-26
"361",116,1.864516129,29,28.375,"Sunday",1987-12-27
"362",156,NA,33.5,30.75,"Monday",1987-12-28
"363",112,-17.27422156,24.5,20.25,"Tuesday",1987-12-29
"364",116,NA,25.5,27.625,"Wednesday",1987-12-30
"365",148,-21.97411003,23.5,7.25,"Thursday",1987-12-31
"366",108,NA,3.5,-3.625,"Friday",1988-01-01
"367",124,NA,15,15.375,"Saturday",1988-01-02
"368",138,-17.85064935,24.5,16.75,"Sunday",1988-01-03
"369",132,-13.4104621,5,-15.875,"Monday",1988-01-04
"370",112,-18.90909091,-6.5,-15.75,"Tuesday",1988-01-05
"371",131,31.854368932,-5.5,-15.125,"Wednesday",1988-01-06
"372",140,30.624595469,3,-1.875,"Thursday",1988-01-07
"373",123,43.32038835,8.5,2.75,"Friday",1988-01-08
"374",126,4.1521035599,0.5,-12.25,"Saturday",1988-01-09
"375",121,-0.795786252,1.5,-1.625,"Sunday",1988-01-10
"376",148,-4.717532468,24,22.25,"Monday",1988-01-11
"377",146,-0.655844156,28.5,15.5,"Tuesday",1988-01-12
"378",119,7.2694805195,12,-0.375,"Wednesday",1988-01-13
"379",127,2.1201298701,11,9.375,"Thursday",1988-01-14
"380",118,-16.05519481,28,22.75,"Friday",1988-01-15
"381",137,-6.935514614,39,29.25,"Saturday",1988-01-16
"382",138,-18.00649351,37,32.25,"Sunday",1988-01-17
"383",117,NA,33.5,32.375,"Monday",1988-01-18
"384",125,-4.791530945,35.5,34.625,"Tuesday",1988-01-19
"385",126,-21.89236008,34,27.375,"Wednesday",1988-01-20
"386",100,-23.47882736,28.5,21.125,"Thursday",1988-01-21
"387",126,-11.73678186,27,23.625,"Friday",1988-01-22
"388",131,-19.99348534,21,25.75,"Saturday",1988-01-23
"389",115,-16.99674267,24.5,17,"Sunday",1988-01-24
"390",142,-9.026058632,14.5,-2.75,"Monday",1988-01-25
"391",122,2.0358306189,9,-0.5,"Tuesday",1988-01-26
"392",124,7.9804560261,7,11.25,"Wednesday",1988-01-27
"393",112,6.0748459892,21.5,19.25,"Thursday",1988-01-28
"394",126,-6.153094463,35.5,40.5,"Friday",1988-01-29
"395",127,-20.12703583,50.5,47.5,"Saturday",1988-01-30
"396",118,-1.071895425,46,31.875,"Sunday",1988-01-31
"397",119,-30.10784314,28,21.375,"Monday",1988-02-01
"398",111,-20.1503268,22.5,17.75,"Tuesday",1988-02-02
"399",120,-3.848767772,24,20.125,"Wednesday",1988-02-03
"400",135,8.5392156863,16.5,6.625,"Thursday",1988-02-04
"401",119,-6.506535948,4,-10.75,"Friday",1988-02-05
"402",110,-4.452459016,3,-3.125,"Saturday",1988-02-06
"403",123,-11.39344262,16.5,8.375,"Sunday",1988-02-07
"404",108,-0.518032787,14.5,16.25,"Monday",1988-02-08
"405",135,-1.814061259,17.5,7.125,"Tuesday",1988-02-09
"406",124,-7.645901639,16,17.625,"Wednesday",1988-02-10
"407",131,-15.52631579,16,9,"Thursday",1988-02-11
"408",139,0.4868421053,9,0.25,"Friday",1988-02-12
"409",113,-1.546052632,7,3.5,"Saturday",1988-02-13
"410",126,NA,27.5,38.625,"Sunday",1988-02-14
"411",138,-11.03120247,26,11.875,"Monday",1988-02-15
"412",119,-9.633663366,26.5,27.125,"Tuesday",1988-02-16
"413",122,16.270627063,31,23.125,"Wednesday",1988-02-17
"414",124,18.184818482,31.5,27,"Thursday",1988-02-18
"415",128,33.240924092,32,29.375,"Friday",1988-02-19
"416",147,-6.719471947,21.5,-2.625,"Saturday",1988-02-20
"417",125,-14.29111012,16.5,20.125,"Sunday",1988-02-21
"418",156,-20.80794702,40,29,"Monday",1988-02-22
"419",123,0.178807947,27,13,"Tuesday",1988-02-23
"420",119,21.367040245,22,7.875,"Wednesday",1988-02-24
"421",131,NA,20.5,9.75,"Thursday",1988-02-25
"422",117,9.8476821192,39.5,29.625,"Friday",1988-02-26
"423",145,-15.71343437,32,22.75,"Saturday",1988-02-27
"424",126,9.6589403974,34.5,31.625,"Sunday",1988-02-28
"425",112,-15.32119205,39.5,26.375,"Monday",1988-02-29
"426",111,-14.30794702,41,29.375,"Tuesday",1988-03-01
"427",117,-11.3255814,35.5,24.375,"Wednesday",1988-03-02
"428",118,-27.42857143,27,17,"Thursday",1988-03-03
"429",116,-14.05670169,28.5,16.25,"Friday",1988-03-04
"430",144,-4.543046358,31,19.25,"Saturday",1988-03-05
"431",132,NA,36,32.5,"Sunday",1988-03-06
"432",142,13.511551155,42,40,"Monday",1988-03-07
"433",154,NA,48.5,42.75,"Tuesday",1988-03-08
"434",142,NA,34,27.625,"Wednesday",1988-03-09
"435",110,1.9180922286,38,21.375,"Thursday",1988-03-10
"436",126,-8.478827362,46.5,35.125,"Friday",1988-03-11
"437",137,-21.58441558,43,28.25,"Saturday",1988-03-12
"438",130,NA,26.5,17.625,"Sunday",1988-03-13
"439",132,-17.54368932,24,17.5,"Monday",1988-03-14
"440",112,-7.587096774,23.5,19.5,"Tuesday",1988-03-15
"441",130,-10.93741712,32.5,23.5,"Wednesday",1988-03-16
"442",138,NA,34,26,"Thursday",1988-03-17
"443",130,2.2733118971,34.5,17.375,"Friday",1988-03-18
"444",109,-14.76774194,32,29.5,"Saturday",1988-03-19
"445",117,-36.78456592,28.5,15,"Sunday",1988-03-20
"446",145,-20.72435897,30,15.75,"Monday",1988-03-21
"447",124,18.800875126,46.5,35,"Tuesday",1988-03-22
"448",136,39.259615385,56,36.25,"Wednesday",1988-03-23
